frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
162,5.41,-0.46,11.08,-2.59,8,3.2,STEER LEFT (CLEAR CORRIDOR),CAUTION,8.6,94
163,5.44,-0.46,11.13,-2.6,7,2.5,SLOW DOWN,CAUTION,8.5,90
164,5.47,-0.46,11.19,-2.65,7,1.9,SLOW DOWN,CAUTION,8.5,85
165,5.51,-0.47,11.25,-2.72,7,1.5,SLOW DOWN,CAUTION,8.4,82
166,5.54,-0.47,11.3,-2.79,6,1.2,SLOW DOWN,CAUTION,8.3,78
167,5.57,-0.47,11.35,-2.83,6,0.9,SLOW DOWN,CAUTION,8.3,75
168,5.61,-0.47,11.41,-2.8,6,0.7,SLOW DOWN,CAUTION,8.3,73
169,5.64,-0.48,11.47,-2.69,6,0.6,SLOW DOWN,CAUTION,8.2,70
170,5.67,-0.48,11.5,-2.73,5,2.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,8.2,70
171,5.71,-0.48,11.54,-2.63,5,3.6,STEER LEFT (CLEAR CORRIDOR),CAUTION,8.1,70
172,5.74,-0.48,11.59,-2.59,5,4.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,8.1,70
173,5.77,-0.48,11.6,-2.39,4,6.7,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,70
174,5.81,-0.48,11.64,-0.81,4,2.2,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,69
175,5.84,-0.48,11.65,-0.65,3,-1.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,68
176,5.87,-0.49,11.7,-0.49,4,-1.1,SLOW DOWN,CAUTION,8.0,68
177,5.91,-0.49,11.76,-0.35,5,-0.9,SLOW DOWN,CAUTION,8.0,68
178,5.94,-0.49,11.79,-0.32,4,-0.7,SLOW DOWN,CAUTION,8.0,67
179,5.97,-0.49,11.88,-0.34,6,-0.5,SLOW DOWN,CAUTION,7.9,66
180,6.01,-0.49,11.95,-0.36,6,1.5,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.9,66
181,6.04,-0.49,11.98,-0.35,5,3.0,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.9,65
